incident_type,details,county,month,year
Shooting,Species involved: Buzzard x 1.,SCOTTISH BORDERS,October,2015
Illegal Trapping (Other),Species targeted: Birds of prey.,SCOTTISH BORDERS,May,2015
Poisoning,Species involved: Buzzard x 1. Tested positive for: Aldicarb.,NOTTINGHAMSHIRE,March,2015
Nest Destruction,Species involved: Golden eagle nest.,PERTH AND KINROSS,April,2015
Shooting,Species involved: Peregrine falcon x 1.,SOMERSET & AVON,March,2015
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,NORTHUMBERLAND,March,2015
Shooting,Species involved: Long-eared owl x 1.,EAST RIDING OF YORKSHIRE,November,2015
Shooting,Species involved: Hen harrier x 1.,DUMFRIES AND GALLOWAY,March,2015
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,PERTH AND KINROSS,March,2015
Shooting,Species involved: Tawny owl x 1.,NORTH YORKSHIRE,April,2015
Poisoning,Species involved: Buzzard x 2. Tested positive for: Alphachloralose.,DERBYSHIRE,March,2015
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,April,2015
Shooting,Species targeted: Goshawk.,DERBYSHIRE,May,2015
Shooting,Species involved: Buzzard x 1.,LINCOLNSHIRE,January,2015
Shooting,Species involved: Buzzard x 1.,KENT,April,2015
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,October,2015
Shooting,Species involved: Red kite x 1.,NORTHAMPTONSHIRE,February,2015
Nest Destruction,Species involved: Tawny owl x 3 (nest).,CUMBRIA,May,2015
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,PERTH AND KINROSS,March,2015
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,NORTHUMBERLAND,August,2015
Shooting,Species involved: Red kite x 1.,HIGHLAND,August,2015
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,HERTFORDSHIRE,May,2015
Shooting,Species involved: Red-footed falcon x 1.,CAMBRIDGESHIRE,September,2015
Shooting,Species involved: Buzzard x 1.,EAST SUSSEX,October,2015
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,HIGHLAND,April,2015
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,DOWN,September,2015
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,HIGHLAND,October,2015
Shooting,Species involved: Buzzard x 1.,SUFFOLK,July,2015
Shooting,Species targeted: Sparrowhawk.,WEST YORKSHIRE,November,2015
Shooting,Species involved: Buzzard x 1.,DERBYSHIRE,September,2015
Illegal Pole/Spring Trapping,Species involved: Red kite x 1.,STIRLING,May,2015
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,ANGUS,July,2015
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,ANGUS,July,2015
Shooting,Species involved: Buzzard x 1.,SCOTTISH BORDERS,July,2015
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,ANGUS,July,2015
Shooting,Species involved: Short-eared owl x 1.,COUNTY DURHAM,February,2015
Illegal Trapping (Other),Species involved: Tawny owl x 1.,WARWICKSHIRE,October,2015
Illegal Pole/Spring Trapping,Species targeted: Peregrine falcon.,STAFFORDSHIRE,April,2015
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,PERTH AND KINROSS,January,2015
Shooting,Species involved: Kestrel x 1.,NORTH YORKSHIRE,June,2015
Shooting,Species Involved: Buzzard x 1.,SURREY,April,2015
Shooting,Species involved: Peregrine falcon x 1.,WEST YORKSHIRE,March,2015
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran.,CUMBRIA,April,2015
Shooting,Species involved: Peregrine falcon x 1.,DEVON,June,2015
Shooting,Species involved: Buzzard x 1.,NORTHUMBERLAND,April,2015
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,EAST RIDING OF YORKSHIRE,March,2015
Shooting,Species Involved: Buzzard x 1.,SOUTH YORKSHIRE,October,2015
Shooting,Species involved: Kestrel x 1.,EAST RIDING OF YORKSHIRE,January,2015
Poisoning,Species involved: Buzzard x 1; Dog x 1; poison bait (bird remains) x 1. Tested positive for: Aldicarb.,LINCOLNSHIRE,April,2015
Shooting,Species involved: Buzzard x 1.,NORFOLK,January,2014
Shooting,Species involved: Sparrowhawk x 1.,COUNTY DURHAM,January,2014
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,FIFE,April,2014
Shooting,Species involved: Buzzard x 1.,CAMBRIDGESHIRE,November,2014
Shooting,Species involved: Peregrine falcon x 1.,DEVON,July,2014
Shooting,Species involved: Buzzard x 1.,SHROPSHIRE,September,2014
Shooting,Species involved: Buzzard x 1.,DERBYSHIRE,March,2014
Poisoning,Species targeted: Birds of prey. Species involved: Cat x 1. Tested positive for: Carbofuran.,MIDLOTHIAN,December,2014
Poisoning,Species involved: Red kite x 3. Tested positive for: Alphachloralose.,DOWN,June,2014
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Carbofuran.,SOUTH LANARKSHIRE,February,2014
Poisoning,Species involved: Red kite x 1; buzzard x 1; cat x 1. Tested positive for: Bendiocarb.,POWYS,October,2014
Illegal Trapping (Other),Species involved: Sparrowhawk x 1.,ANTRIM,November,2014
Shooting,Species involved: Buzzard x 1.,SOMERSET & AVON,December,2014
Shooting,Species involved: Peregrine falcon x 1.,CAMBRIDGESHIRE,June,2014
Shooting,Species involved: Buzzard x 1.,DUMFRIES AND GALLOWAY,April,2014
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,October,2014
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,WEST YORKSHIRE,February,2014
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,HIGHLAND,September,2014
Illegal Pole/Spring Trapping,Species involved: Tawny owl x 1.,SUFFOLK,December,2014
Nest Destruction,Species involved: Barn owl x 2 (nest).,SUFFOLK,June,2014
Nest Destruction,Species involved: Golden eagle nest.,ARGYLL AND BUTE,May,2014
Poisoning,"Species involved: Buzzard x 1. Tested positive for: Aldicarb, carbofuran, isofenphos.",ARMAGH,October,2014
Shooting,Species involved: Red kite x 1.,HIGHLAND,June,2014
Shooting,Species involved: Buzzard x 1.,DENBIGHSHIRE,September,2014
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,TYRONE,November,2014
Poisoning,"Species targeted: Birds of prey. Species involved: Rook x 1; poison bait (hare) x 1; poison bait (rabbit) x 1. Tested positive for: Alphachloralose, carbofuran.",SOUTH LANARKSHIRE,January,2014
Shooting,Species involved: Buzzard x 1.,NORFOLK,January,2014
Shooting,Species involved: Tawny owl x 1.,EAST LOTHIAN,December,2014
Shooting,Species involved: Buzzard x 1.,SCOTTISH BORDERS,May,2014
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,February,2014
Shooting,Species involved: Buzzard x 1.,SCOTTISH BORDERS,May,2014
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,April,2014
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,DUMFRIES AND GALLOWAY,December,2014
Shooting,Species involved: Kestrel x 1.,NORFOLK,July,2014
Shooting,Species involved: Peregrine falcon x 1.,STIRLING,April,2014
Illegal Trapping (Other),Species targeted: Birds of prey.,SCOTTISH BORDERS,May,2014
Shooting,Species involved: Red kite x 1.,WEST YORKSHIRE,June,2014
Shooting,Species involved: Buzzard x 1.,DOWN,July,2014
Shooting,Species involved: Buzzard x 1.,SUFFOLK,December,2014
Shooting,Species involved: Buzzard x 1.,SCOTTISH BORDERS,November,2014
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,NORTH YORKSHIRE,June,2014
Shooting,Species involved: Buzzard x 1.,SURREY,June,2014
Shooting,Species involved: Peregrine falcon x 1.,DEVON,May,2014
Illegal Pole/Spring Trapping,Species targeted: Goshawk.,ABERDEENSHIRE,March,2014
Nest Destruction,Species involved: Golden eagle nest.,HIGHLAND,June,2014
PersecutionOther,Species targeted: Birds of prey. Possession of: Alphachloralose.,NORTH YORKSHIRE,December,2014
PersecutionOther,Species targeted: Birds of prey.,SCOTTISH BORDERS,May,2014
Shooting,Species involved: Peregrine falcon x 1.,SUFFOLK,August,2014
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Carbofuran.,DOWN,March,2014
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,SCOTTISH BORDERS,May,2014
Poisoning,"Species targeted: Birds of prey, fox. Species involved: Poison bait (rabbit) x 1. Tested positive for: Aldicarb, bendiocarb, pirimicarb.",NORTH YORKSHIRE,September,2014
Shooting,Species involved: Peregrine falcon x 1.,SCOTTISH BORDERS,September,2014
Shooting,Species involved: Peregrine falcon x 1.,DOWN,September,2014
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,NORTH YORKSHIRE,June,2014
Poisoning,Species involved: Buzzard x 1; Fox x 1. Tested positive for: Carbofuran.,TYRONE,March,2014
Shooting,Species involved: Barn owl x 1.,CHESHIRE,October,2014
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,SCOTTISH BORDERS,March,2014
Poisoning,Species targeted: Birds of prey. Species involved: Cat x 1. Tested positive for: Carbofuran.,DOWN,November,2014
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,NORTH YORKSHIRE,June,2014
Poisoning,"Species involved: Red kite x 1. Tested positive for: Aldicarb, carbofuran, methiocarb.",COUNTY DURHAM,December,2014
Shooting,Species targeted: Peregrine falcon.,GREATER LONDON,April,2014
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1; Bird x 1; Poison bait (pheasant) x 1. Tested positive for: Metaldehyde.,NORTH YORKSHIRE,January,2014
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,SHROPSHIRE,August,2014
Shooting,Species involved: Buzzard x 1.,SUFFOLK,November,2014
Shooting,Species targeted: Peregrine falcon.,DUMFRIES AND GALLOWAY,June,2014
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1. Tested positive for: Aldicarb.,POWYS,May,2014
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Carbofuran.,LONDONDERRY,July,2014
Shooting,Species involved: Buzzard x 1.,SCOTTISH BORDERS,May,2014
Poisoning,"Species involved: Buzzard x 4; red kite x 12. Tested positive for: Carbofuran, aldicarb, carbosulfan.",HIGHLAND,March,2014
Shooting,Species involved: Little owl x 1.,NORTH YORKSHIRE,November,2014
Shooting,Species involved: Hen Harrier x 1.,EAST AYRSHIRE,June,2014
Shooting,Species involved: Buzzard x 1.,LINCOLNSHIRE,January,2014
Shooting,Species involved: Buzzard x 1.,NOTTINGHAMSHIRE,January,2014
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Alphachloralose.,CONWY,June,2014
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Aldicarb.,WEST MIDLANDS,April,2014
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Carbofuran.,SOMERSET & AVON,May,2014
Shooting,Species involved: Buzzard x 1.,HERTFORDSHIRE,May,2014
Shooting,Species involved: Sparrowhawk x 1.,DERBYSHIRE,March,2014
Poisoning,Species involved: Red kite x 2. Tested positive for: Methiocarb.,NORTHUMBERLAND,November,2014
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,STIRLING,July,2014
Shooting,Species involved: Red kite x 1.,NORTHUMBERLAND,November,2014
Nest Destruction,Species involved: Goshawk nest.,ABERDEENSHIRE,May,2014
Shooting,Species involved: Buzzard x 1.,FALKIRK,June,2014
Shooting,Species involved: Red kite x 1.,NORTHUMBERLAND,November,2014
Shooting,Species involved: Sparrowhawk x 1.,LEICESTERSHIRE,September,2014
Shooting,Species involved: Red kite x 1.,DOWN,February,2014
Shooting,Species involved: Buzzard x 1.,NORFOLK,August,2014
Shooting,Species involved: Red kite x 1.,NORTHAMPTONSHIRE,April,2014
Shooting,Species involved: Sparrowhawk x 1.,NORFOLK,May,2014
Shooting,Species involved: Buzzard x 1.,SUFFOLK,January,2014
Illegal Pole/Spring Trapping,Species involved: Goshawk x 1.,DERBYSHIRE,April,2014
Shooting,Species involved: Buzzard x 1.,NORFOLK,December,2014
Shooting,Species involved: Sparrowhawk x 1.,BERKSHIRE,March,2014
Shooting,Species involved: Barn owl x 1.,LEICESTERSHIRE,December,2014
Illegal Trapping (Other),Species targeted: Birds of prey.,SHROPSHIRE,July,2014
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,NORTH YORKSHIRE,October,2014
Poisoning,Species targeted: Birds of prey. Species involved: Cat x 1. Tested positive for Bendiocarb.,SURREY,March,2014
Shooting,Species involved: Peregrine falcon x 1.,GREATER MANCHESTER,August,2013
Shooting,Species involved: Buzzard x 1.,POWYS,May,2013
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,FIFE,July,2013
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran.,ANGUS,April,2013
Poisoning,Species involved: Buzzard x 2. Tested positive for: Carbofuran.,DEVON,April,2013
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 1. Tested positive for: Bendiocarb.,POWYS,August,2013
Shooting,Species involved: Red kite x 1.,WEST YORKSHIRE,November,2013
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 1. Tested positive for: Bendiocarb.,POWYS,August,2013
Shooting,Species targeted: Buzzard.,SOUTH LANARKSHIRE,March,2013
Shooting,Species involved: Buzzard x 1.,NORTHUMBERLAND,April,2013
Poisoning,Species involved: Red kite x 1. Tested positive for: Aldicarb.,POWYS,March,2013
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,DOWN,June,2013
Poisoning,"Species targeted: Birds of prey. Species involved: Fox x 1, poison bait (chicken) x 1. Tested positive for: Carbofuran.",DOWN,February,2013
Poisoning,Species involved: Red kite x 1. Tested positive for: Mevinphos/phosdrin.,STIRLING,March,2013
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,HEREFORDSHIRE,January,2013
Shooting,Species involved: Merlin x 1.,DOWN,December,2013
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Bendiocarb.,POWYS,October,2013
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,BUCKINGHAMSHIRE,February,2013
PersecutionOther,Species targeted: Birds of prey. Possession of: Mevinphos/phosdrin. Stored aldicarb also found.,NORFOLK,April,2013
Poisoning,Species involved: Marsh harrier x 2. Tested positive for: Aldicarb.,CAMBRIDGESHIRE,April,2013
Shooting,Species involved: Peregrine falcon x 1.,LANCASHIRE,January,2013
Shooting,Species involved: Buzzard x 1.,SOMERSET & AVON,May,2013
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,October,2013
Poisoning,Species involved: Golden eagle x 1. Tested positive for: Carbofuran.,ANGUS,November,2013
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,PERTH AND KINROSS,March,2013
Shooting,Species involved: Sparrowhawk x 1.,SUFFOLK,March,2013
Shooting,Species involved: Buzzard x 1.,HIGHLAND,December,2013
Shooting,Species involved: Buzzard x 1.,FLINTSHIRE,February,2013
Shooting,Species involved: Hen harrier x 1.,MORAY,June,2013
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,SOUTH LANARKSHIRE,February,2013
Shooting,Species involved: Red kite x 1.,SHROPSHIRE,February,2013
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,June,2013
Illegal Trapping (Other),Species involved: Little owl x 1.,WEST YORKSHIRE,August,2013
Shooting,Species involved: Peregrine falcon x 1.,MONMOUTHSHIRE,May,2013
Shooting,Species involved: Buzzard x 1.,EAST RIDING OF YORKSHIRE,February,2013
Poisoning,Species involved: Sparrowhawk x 1; poison bait (pigeon) x 1. Tested positive for: Carbofuran.,CHESHIRE,May,2013
Poisoning,Species involved: Buzzard x 1. Tested positive for: Aldicarb.,DOWN,April,2013
Shooting,Species involved: Sparrowhawk x 1.,WREXHAM,August,2013
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,POWYS,October,2013
PersecutionOther,"Species targeted: Birds of prey. Possession of: Carbofuran, Alphachloralose, Strychnine.",DUMFRIES AND GALLOWAY,March,2013
Shooting,Species involved: Buzzard x 1.,SCOTTISH BORDERS,March,2013
Illegal Pole/Spring Trapping,Species targeted: Goshawk.,HEREFORDSHIRE,August,2013
Shooting,Species involved: Red kite x 1.,ABERDEENSHIRE,April,2013
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,STIRLING,March,2013
Illegal Pole/Spring Trapping,Species involved: Merlin x 1.,COUNTY DURHAM,December,2013
Shooting,Species involved: Kestrel x 1.,EAST RIDING OF YORKSHIRE,August,2013
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 1. Tested positive for: Bendiocarb.,POWYS,August,2013
Shooting,Species involved: Buzzard x 1.,NORFOLK,December,2013
Shooting,Species involved: Red kite x 1.,SOUTH LANARKSHIRE,August,2013
Shooting,Species involved: Buzzard x 1.,STIRLING,February,2013
Illegal Pole/Spring Trapping,Species involved: Sparrowhawk x 1.,SOUTH LANARKSHIRE,February,2013
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,DOWN,November,2013
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Carbofuran.,CUMBRIA,May,2013
Poisoning,Species involved: Red kite x 1. Tested positive for: Aldicarb.,LINCOLNSHIRE,June,2013
Poisoning,Species involved: Buzzard x 9. Tested positive for: Mevinphos/phosdrin. Stored aldicarb also found.,NORFOLK,April,2013
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,STIRLING,September,2013
Shooting,Species involved: Buzzard x 1.,WEST MIDLANDS,April,2013
Shooting,Species involved: Buzzard x 1.,NORFOLK,December,2013
Illegal Trapping (Other),Species involved: Buzzard x 5.,CUMBRIA,February,2013
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,PERTH AND KINROSS,April,2013
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 1. Tested positive for: Bendiocarb.,POWYS,August,2013
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (unidentified bird) x 1. Tested positive for: Paraquat.,EAST SUSSEX,June,2013
Poisoning,Species involved: Red kite x 3; Buzzard x 7. Tested positive for: Bendiocarb.,POWYS,October,2013
Poisoning,Species involved: Buzzard x 2; rook x 1. Tested positive for: Carbofuran.,DOWN,October,2013
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Bendiocarb.,POWYS,October,2013
Illegal Pole/Spring Trapping,Species involved: Short-eard owl x 1.,SOUTH LANARKSHIRE,February,2013
Shooting,Species involved: Buzzard x 1.,NORFOLK,March,2013
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Carbofuran.,SOUTH LANARKSHIRE,March,2013
Shooting,Species involved: Buzzard x 1.,SCOTTISH BORDERS,June,2013
Shooting,Species involved: Buzzard x 1.,PERTH AND KINROSS,October,2013
Shooting,Species involved: Buzzard x 1.,EAST RIDING OF YORKSHIRE,February,2013
Shooting,Species involved: Buzzard x 1.,FLINTSHIRE,February,2013
Illegal Trapping (Other),Species targeted: Birds of prey.,HIGHLAND,November,2013
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,LONDONDERRY,March,2013
Shooting,Species involved: Buzzard x 1.,RENFREWSHIRE,July,2013
Shooting,Species involved: Buzzard x 1.,ANTRIM,April,2013
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,April,2013
PersecutionOther,"Species targeted: Birds of prey. Possession of: Strychnine, carbofuran, alphachloralose, aldicarb.",EAST RIDING OF YORKSHIRE,March,2013
Shooting,Species involved: Buzzard x 1.,ANGUS,June,2013
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,ANTRIM,August,2013
Poisoning,Species involved: Red kite x 1; poison bait (rabbit) x 1. Tested positive for: Aldicarb.,DOWN,April,2013
Illegal Trapping (Other),Species targeted: Birds of prey.,FIFE,July,2013
Poisoning,"Species involved: Buzzard x 1; carrion crow x 1; poison bait (lamb) x 1. Tested positive for: Carbofuran, methiocarb (bait only).",CORNWALL,December,2013
Shooting,Species involved: Buzzard x 1.,NORFOLK,December,2013
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,May,2013
Illegal Pole/Spring Trapping,Species involved: Tawny owl x 1.,NORTH YORKSHIRE,July,2013
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Strychnine.,HIGHLAND,April,2013
Shooting,Species involved: Kestrel x 1.,NORTH YORKSHIRE,July,2013
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,NORTH YORKSHIRE,June,2013
Illegal Trapping (Other),Species targeted: Sparrowhawk.,LINCOLNSHIRE,September,2013
Shooting,Species involved: Peregrine falcon x 1.,MONMOUTHSHIRE,May,2013
Illegal Pole/Spring Trapping,Species involved: Tawny owl x 1.,HAMPSHIRE,August,2013
Shooting,Species involved: Buzzard x 1.,NORTHUMBERLAND,September,2013
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,DOWN,August,2013
Poisoning,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, carbofuran, isofenphos.",WEST YORKSHIRE,November,2013
Nest Destruction,Species involved: White-tailed eagle nest.,ANGUS,January,2013
Shooting,Species involved: Buzzard x 1.,CAMBRIDGESHIRE,April,2013
Shooting,Species involved: Buzzard x 1.,LANCASHIRE,October,2013
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,SOUTH LANARKSHIRE,February,2013
Illegal Trapping (Other),Species targeted: Birds of prey.,ANGUS,July,2013
Nest Destruction,Species involved: White-tailed eagle nest.,WESTERN ISLES,April,2013
Illegal Trapping (Other),Species targeted: Sparrowhawk.,LINCOLNSHIRE,August,2013
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,BUCKINGHAMSHIRE,February,2013
Poisoning,Species involved: White-tailed eagle x 1. Tested positive for: Carbofuran.,ANTRIM,April,2013
Shooting,Species targeted: Red kite.,SOUTH LANARKSHIRE,June,2013
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pigeon) x 1. Tested positive for: Carbofuran.,ANGUS,February,2013
Illegal Trapping (Other),Species involved: Buzzard x 1.,DUMFRIES AND GALLOWAY,September,2013
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,NORTH YORKSHIRE,July,2013
Poisoning,Species involved: Buzzard x 1; poison bait (pheasant) x 1. Tested positive for: Bendiocarb.,POWYS,October,2013
Illegal Trapping (Other),Species involved: Buzzard x 2.,CUMBRIA,February,2013
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,POWYS,August,2013
Shooting,Species involved: Sparrowhawk x 1.,GREATER MANCHESTER,February,2013
Poisoning,Species involved: Marsh harrier x 1. Tested positive for: Carbofuran.,NORFOLK,March,2013
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,NORFOLK,February,2013
Shooting,Species involved: Kestrel x 1.,NORFOLK,April,2013
Poisoning,Species involved: Sparrowhawk x 1; buzzard x 2. Tested positive for: Mevinphos/phosdrin.,NORFOLK,April,2013
Shooting,Species involved: Buzzard x 1.,ARMAGH,September,2013
Illegal Trapping (Other),Species targeted: Birds of prey.,CAMBRIDGESHIRE,August,2013
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,ANGUS,September,2013
Shooting,Species involved: Hen harrier x 1.,ABERDEENSHIRE,May,2013
Shooting,Species involved: Buzzard x 1.,STAFFORDSHIRE,April,2013
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,May,2013
Shooting,Species involved: Buzzard x 1.,GREATER MANCHESTER,June,2013
Illegal Pole/Spring Trapping,Species involved: Sparrowhawk x 1.,EAST LOTHIAN,September,2013
Shooting,Species involved: Peregrine falcon x 1.,SOMERSET & AVON,August,2013
Poisoning,"Species involved: Golden eagle x 1. Tested positive for: Aldicarb, bendiocarb.",HIGHLAND,March,2012
Poisoning,Species involved: Marsh harrier x 1. Tested positive for: Aldicarb.,LINCOLNSHIRE,May,2012
Nest Destruction,Species involved: Sparrowhawk nest.,LONDONDERRY,June,2012
Nest Destruction,Species involved: Peregrine falcon x 3 (nest).,LANCASHIRE,June,2012
Illegal Trapping (Other),Species targeted: Birds of prey.,ABERDEENSHIRE,April,2012
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (duck) x 1. Tested positive for: Carbofuran.,CUMBRIA,September,2012
Shooting,Species involved: Buzzard x 1.,DERBYSHIRE,April,2012
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Carbofuran.,ANTRIM,January,2012
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,BEDFORDSHIRE,February,2012
Shooting,Species involved: Barn owl x 1.,CORNWALL,July,2012
Poisoning,Species targeted: Peregrine falcon. Species involved: Poison bait (pigeon) x 1. Tested positive for: Bendiocarb.,CONWY,July,2012
Illegal Trapping (Other),Species involved: Sparrowhawk x 1; buzzard x 1.,CUMBRIA,October,2012
Shooting,Species involved: Hen harrier x 1.,ABERDEENSHIRE,October,2012
Shooting,Species involved: Buzzard x 1.,EAST SUSSEX,March,2012
Nest Destruction,Species involved: Peregrine falcon nest.,STAFFORDSHIRE,May,2012
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,ANGUS,February,2012
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,HAMPSHIRE,March,2012
Poisoning,Species involved: Red kite x 1. Tested positive for: Fenthion.,POWYS,May,2012
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,PERTH AND KINROSS,January,2012
Illegal Trapping (Other),Species involved: Goshawk x 1.,ABERDEENSHIRE,August,2012
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,SUFFOLK,May,2012
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,STIRLING,May,2012
Shooting,Species involved: Peregrine falcon x 1.,ANTRIM,July,2012
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,HERTFORDSHIRE,October,2012
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Bendiocarb.,CONWY,July,2012
Nest Destruction,Species involved: Hobby nest.,OXFORDSHIRE,July,2012
Shooting,Species involved: Buzzard x 1.,LINCOLNSHIRE,March,2012
Shooting,Species involved: Golden eagle x 1.,DUMFRIES AND GALLOWAY,October,2012
Poisoning,"Species targeted: Birds of prey. Species involved: Cat x 1. Tested positive for: Carbofuran, Isofenphos.",EAST AYRSHIRE,March,2012
Shooting,Species involved: Buzzard x 1.,MERSEYSIDE,February,2012
Illegal Trapping (Other),Species involved: Tawny owl x 1.,STIRLING,April,2012
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 2. Tested positive for: Bendiocarb.,SCOTTISH BORDERS,May,2012
Illegal Trapping (Other),Species involved: Buzzard x 3.,NORTHUMBERLAND,December,2012
Poisoning,"Species targeted: Birds of prey. Species involved: Cat x 1. Tested positive for: Carbofuran, Isofenphos",EAST AYRSHIRE,July,2012
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,ARMAGH,September,2012
Nest Destruction,Species involved: Barn owl nest.,LINCOLNSHIRE,May,2012
Illegal Trapping (Other),Species targeted: Birds of prey.,LANCASHIRE,October,2012
Shooting,Species involved: Buzzard x 1.,SOUTH LANARKSHIRE,June,2012
Illegal Trapping (Other),Species targeted: Birds of prey.,ABERDEENSHIRE,September,2012
Shooting,Species involved: Kestrel x 1.,GREATER LONDON,October,2012
Shooting,Species involved: Hen harrier x 1.,NORTH YORKSHIRE,June,2012
